auction_id,starting_price,current_bid,bidders,total_bids,avg_increment,bid_velocity,auction_duration,time_remaining,final_price,winner_id,will_win
1,811,2338,9,42,82,8.0,58,70,2350,17,1
2,1906,3024,20,104,193,8.0,180,3,6921,5,0
3,1490,4820,2,36,151,8.0,192,51,4622,16,1
4,1237,3725,9,44,125,8.0,115,41,3680,1,1
5,396,1099,11,57,40,8.0,110,76,1383,8,1
6,396,1338,14,81,40,8.0,173,72,1989,11,1
7,210,713,6,39,21,8.0,112,95,959,2,1
8,1745,5866,10,65,176,8.0,282,89,7003,6,1
9,1242,1639,11,63,125,8.0,133,55,2840,1,0
10,1445,4306,15,76,146,8.0,89,98,5377,17,1
11,139,470,12,61,14,8.0,69,15,786,16,1
12,1942,5927,15,77,196,8.0,200,0,6954,11,1
13,1681,2545,4,25,170,8.0,118,10,3002,3,1
14,503,503,17,85,51,8.0,80,35,1518,12,0
15,445,1359,18,88,45,8.0,104,75,2039,2,1
16,448,724,6,32,45,8.0,113,38,1028,7,1
17,678,2618,8,60,68,8.0,198,78,2668,4,1
18,1097,4674,18,79,111,8.0,77,74,4957,3,1
19,920,3593,12,75,93,8.0,227,79,3985,5,1
20,653,934,13,64,66,8.0,112,18,1585,9,0
21,1262,4833,3,25,127,8.0,161,51,4106,15,1
22,365,533,20,97,37,8.0,206,71,1359,7,0
23,655,1246,6,48,66,8.0,176,28,1621,17,1
24,796,3076,12,69,80,8.0,208,83,3453,12,1
25,966,1292,20,95,97,8.0,117,77,3211,12,0
26,1591,2379,8,64,161,8.0,290,11,4159,5,0
27,479,1882,7,50,48,8.0,153,21,1960,13,1
28,1077,4795,12,56,109,8.0,116,23,4715,5,1
29,1225,3863,15,77,124,8.0,110,87,4965,20,1
30,188,580,5,24,19,8.0,41,18,744,9,1
31,1254,3512,9,56,127,8.0,214,62,3819,10,1
32,423,722,10,52,42,8.0,100,6,1160,12,0
33,223,223,3,43,22,8.0,288,55,622,6,0
34,1902,4692,12,58,192,8.0,86,14,5367,15,1
35,1934,7610,8,57,196,8.0,172,57,7178,5,1
36,1635,6687,5,37,165,8.0,228,36,5728,18,1
37,678,1812,15,87,68,8.0,264,60,2736,5,1
38,285,1221,2,17,28,8.0,72,39,1120,19,1
39,1400,4040,13,80,141,8.0,296,85,5179,6,1
40,936,3380,20,105,94,8.0,274,75,4637,15,1
41,331,808,6,53,33,8.0,289,84,1146,9,1
42,1040,1148,9,68,105,8.0,260,22,2507,7,0
43,165,644,12,74,16,8.0,266,14,924,7,1
44,1827,7840,5,45,185,8.0,191,55,7507,14,1
45,591,2057,16,85,59,8.0,258,87,2789,17,1
46,1358,3143,13,75,137,8.0,174,11,4034,16,1
47,692,2757,11,64,70,8.0,175,23,3023,4,1
48,1088,3410,17,94,110,8.0,181,74,4849,8,1
49,1138,1138,9,70,115,8.0,299,46,2664,19,0
50,451,1922,9,38,45,8.0,58,60,2145,2,1
51,1942,4880,7,61,196,8.0,247,59,6202,7,1
52,1572,2272,4,21,159,8.0,103,41,2365,20,0
53,1885,2784,9,54,191,8.0,127,70,4126,19,0
54,1800,3712,11,46,182,8.0,51,85,4179,13,0
55,1236,1236,6,45,125,8.0,124,90,2181,5,0
56,1851,3574,12,85,187,8.0,297,4,5923,18,1
57,268,304,5,28,27,8.0,137,55,615,9,0
58,472,730,18,99,47,8.0,210,4,1810,6,0
59,185,185,4,26,18,8.0,62,90,478,7,0
60,718,2383,19,104,72,8.0,279,42,3522,7,1
61,838,2456,9,66,85,8.0,253,90,3248,12,1
62,615,702,13,65,62,8.0,134,18,1557,18,0
63,1674,6144,17,86,169,8.0,124,16,7347,6,1
64,777,2602,15,76,78,8.0,146,90,3173,3,1
65,633,869,17,89,64,8.0,138,93,1956,16,0
66,1131,1131,5,27,114,8.0,99,76,1596,16,0
67,367,477,2,37,37,7.7817010140362886,297,22,789,1,0
68,1624,2001,2,29,164,6.507650745111198,248,17,2392,16,0
69,241,739,16,72,24,8.0,102,74,1158,15,1
70,1975,1975,4,45,200,8.0,295,63,3538,18,0
71,1567,3056,15,62,158,8.0,34,87,4432,13,0
72,477,1016,10,61,48,8.0,148,27,1550,4,1
73,110,123,20,94,11,8.0,183,29,618,1,0
74,1649,3414,9,43,167,8.0,40,73,4198,16,0
75,1443,4177,3,26,146,8.0,73,26,3632,18,1
76,1485,2958,5,36,150,8.0,99,46,3249,19,1
77,1565,6642,2,26,158,6.926803373058262,224,52,5632,6,1
78,240,447,12,78,24,8.0,283,66,892,17,0
79,781,2506,6,50,79,8.0,198,34,2825,9,1
80,320,894,3,29,32,8.0,181,85,989,13,1
81,1739,3807,14,74,176,8.0,174,40,5248,4,1
82,1284,5631,18,84,130,8.0,124,4,6175,18,1
83,728,2898,18,102,73,8.0,253,6,3368,1,1
84,220,340,19,102,22,8.0,176,97,1106,9,0
85,690,3038,10,45,70,8.0,92,62,2877,1,1
86,717,717,7,32,72,8.0,66,49,1153,12,0
87,1486,1486,4,51,150,8.0,296,86,2737,17,0
88,1311,1512,9,42,132,8.0,34,71,2401,20,0
89,1785,3778,4,45,181,8.0,282,18,4605,11,1
90,997,2144,2,11,101,7.243098131245505,88,0,1814,20,1
91,327,329,14,83,33,8.0,207,98,989,1,0
92,1455,5164,6,42,147,8.0,111,62,4871,10,1
93,1545,3071,17,92,156,8.0,262,47,5255,10,0
94,1166,5024,17,89,118,8.0,176,94,5601,9,1
95,1564,7031,13,67,158,8.0,68,36,7144,17,1
96,1038,3481,14,63,105,8.0,102,72,3896,14,1
97,1093,1340,5,39,110,8.0,116,67,1895,7,0
98,912,2475,10,61,92,8.0,269,67,3106,19,1
99,148,549,17,90,15,8.0,237,67,884,1,1
100,304,1280,2,36,30,8.0,253,1,1229,9,1
101,159,379,6,26,16,8.0,44,82,639,16,1
102,1309,1309,6,38,132,8.0,186,92,2135,18,0
103,697,1607,20,110,70,8.0,299,44,2990,11,0
104,1066,3112,10,70,108,8.0,242,56,3964,17,1
105,1824,2208,9,44,184,8.0,62,32,3460,20,0
106,573,1830,20,106,58,8.0,213,78,2791,15,1
107,879,2535,19,95,89,8.0,231,73,3635,2,1
108,1535,3943,16,85,155,8.0,168,73,5295,12,0
109,534,1500,5,30,54,8.0,51,73,1529,18,1
110,246,246,16,71,24,8.0,39,21,819,1,0
111,650,2332,14,89,65,8.0,283,11,2844,2,1
112,406,1375,19,88,41,8.0,99,31,2010,18,1
113,1866,2879,6,44,189,8.0,132,57,3813,1,0
114,1635,1772,19,104,165,8.0,244,39,5075,11,0
115,1303,2936,9,59,132,8.0,216,24,3343,16,1
116,1755,6325,2,35,178,7.477148075637467,291,2,5469,11,1
117,1626,3681,20,91,164,8.0,55,12,5861,2,1
118,454,1578,18,101,46,8.0,220,10,2259,8,1
